date,line,total_incidents,weather_related_incidents,avg_delay_min,disrupted_trains,data_source,month_total_real
2020-01-03,3,7,0,8.7,35,real_monthly_downscaled,235
2020-01-04,3,8,0,10.0,40,real_monthly_downscaled,235
2020-01-05,3,7,0,7.8,36,real_monthly_downscaled,235
2020-01-06,3,8,0,6.7,44,real_monthly_downscaled,235
2020-01-07,3,8,0,7.1,40,real_monthly_downscaled,235
2020-01-08,3,7,0,7.4,38,real_monthly_downscaled,235
2020-01-09,3,8,0,11.7,40,real_monthly_downscaled,235
2020-01-10,3,6,0,7.3,34,real_monthly_downscaled,235
2020-01-11,3,9,0,9.8,45,real_monthly_downscaled,235
2020-01-12,3,7,0,7.1,39,real_monthly_downscaled,235
2020-01-13,3,8,0,9.9,43,real_monthly_downscaled,235
2020-01-14,3,7,0,9.1,34,real_monthly_downscaled,235
2020-01-15,3,8,0,8.3,39,real_monthly_downscaled,235
2020-01-16,3,8,0,8.4,39,real_monthly_downscaled,235
2020-01-17,3,9,0,7.5,45,real_monthly_downscaled,235
2020-01-18,3,8,0,9.2,40,real_monthly_downscaled,235
2020-01-19,3,7,0,7.8,39,real_monthly_downscaled,235
2020-01-20,3,7,0,6.7,37,real_monthly_downscaled,235
2020-01-21,3,7,0,6.6,37,real_monthly_downscaled,235
2020-01-22,3,8,0,8.8,40,real_monthly_downscaled,235
2020-01-23,3,7,0,10.9,39,real_monthly_downscaled,235
2020-01-24,3,6,0,8.7,34,real_monthly_downscaled,235
2020-01-25,3,11,0,13.3,58,real_monthly_downscaled,235
2020-01-26,3,8,0,8.9,44,real_monthly_downscaled,235
2020-01-27,3,7,0,10.5,35,real_monthly_downscaled,235
2020-01-28,3,8,0,8.8,40,real_monthly_downscaled,235
2020-01-29,3,7,0,7.9,35,real_monthly_downscaled,235
2020-01-30,3,8,0,10.2,41,real_monthly_downscaled,235
2020-01-31,3,7,0,9.1,37,real_monthly_downscaled,235
2020-01-01,4,12,0,7.8,72,real_monthly_downscaled,344
2020-01-02,4,10,0,8.0,62,real_monthly_downscaled,344
2020-01-03,4,13,0,10.0,76,real_monthly_downscaled,344
2020-01-04,4,10,0,9.3,62,real_monthly_downscaled,344
2020-01-05,4,10,0,10.5,59,real_monthly_downscaled,344
2020-01-06,4,12,0,8.3,74,real_monthly_downscaled,344
2020-01-07,4,10,0,7.5,60,real_monthly_downscaled,344
2020-01-08,4,10,0,8.2,60,real_monthly_downscaled,344
2020-01-09,4,11,0,8.9,69,real_monthly_downscaled,344
2020-01-10,4,12,0,8.8,74,real_monthly_downscaled,344
2020-01-11,4,10,0,6.9,61,real_monthly_downscaled,344
2020-01-12,4,10,0,8.6,63,real_monthly_downscaled,344
2020-01-13,4,12,0,8.8,72,real_monthly_downscaled,344
2020-01-14,4,13,0,12.3,76,real_monthly_downscaled,344
2020-01-15,4,11,0,11.3,67,real_monthly_downscaled,344
2020-01-16,4,10,0,7.2,60,real_monthly_downscaled,344
2020-01-17,4,9,0,8.1,57,real_monthly_downscaled,344
2020-01-18,4,10,0,6.3,61,real_monthly_downscaled,344
2020-01-19,4,10,0,7.6,60,real_monthly_downscaled,344
2020-01-20,4,12,0,9.0,70,real_monthly_downscaled,344
2020-01-21,4,10,0,10.3,59,real_monthly_downscaled,344
2020-01-22,4,11,0,7.4,67,real_monthly_downscaled,344
2020-01-23,4,12,0,7.5,71,real_monthly_downscaled,344
2020-01-24,4,11,0,5.3,69,real_monthly_downscaled,344
2020-01-25,4,14,0,13.3,82,real_monthly_downscaled,344
2020-01-26,4,12,0,6.9,73,real_monthly_downscaled,344
2020-01-27,4,12,0,7.7,71,real_monthly_downscaled,344
2020-01-28,4,12,0,7.2,72,real_monthly_downscaled,344
2020-01-29,4,10,0,8.4,60,real_monthly_downscaled,344
2020-01-30,4,10,0,5.9,59,real_monthly_downscaled,344
2020-01-31,4,13,0,6.3,75,real_monthly_downscaled,344
2020-01-01,5,5,0,10.9,39,real_monthly_downscaled,163
2020-01-02,5,5,0,9.1,38,real_monthly_downscaled,163
2020-01-03,5,6,0,7.4,45,real_monthly_downscaled,163
2020-01-04,5,6,0,6.8,46,real_monthly_downscaled,163
2020-01-05,5,5,0,10.3,37,real_monthly_downscaled,163
2020-01-06,5,5,0,8.9,36,real_monthly_downscaled,163
2020-01-07,5,5,0,9.2,43,real_monthly_downscaled,163
2020-01-08,5,5,0,5.9,37,real_monthly_downscaled,163
2020-01-09,5,6,0,9.9,46,real_monthly_downscaled,163
2020-01-10,5,5,0,9.2,39,real_monthly_downscaled,163
2020-01-11,5,5,0,6.8,37,real_monthly_downscaled,163
2020-01-12,5,6,0,7.8,47,real_monthly_downscaled,163
2020-01-13,5,5,0,8.9,38,real_monthly_downscaled,163
2020-01-14,5,5,0,8.6,39,real_monthly_downscaled,163
2020-01-15,5,5,0,8.1,37,real_monthly_downscaled,163
2020-01-16,5,5,0,8.3,37,real_monthly_downscaled,163
2020-01-17,5,4,0,8.1,36,real_monthly_downscaled,163
2020-01-18,5,5,0,8.7,36,real_monthly_downscaled,163
2020-01-19,5,5,0,10.7,38,real_monthly_downscaled,163
2020-01-20,5,5,0,4.7,36,real_monthly_downscaled,163
2020-01-21,5,5,0,8.1,43,real_monthly_downscaled,163
2020-01-22,5,6,0,8.8,44,real_monthly_downscaled,163
2020-01-23,5,5,0,8.9,40,real_monthly_downscaled,163
2020-01-24,5,5,0,7.9,39,real_monthly_downscaled,163
2020-01-25,5,7,0,10.9,56,real_monthly_downscaled,163
2020-01-26,5,6,0,9.0,46,real_monthly_downscaled,163
2020-01-27,5,6,0,11.1,46,real_monthly_downscaled,163
2020-01-28,5,5,0,6.2,36,real_monthly_downscaled,163
2020-01-29,5,5,0,9.8,38,real_monthly_downscaled,163
2020-01-30,5,5,0,8.0,38,real_monthly_downscaled,163
2020-01-31,5,5,0,8.4,39,real_monthly_downscaled,163
2020-01-01,6,14,0,6.7,77,real_monthly_downscaled,438
2020-01-02,6,13,0,7.5,69,real_monthly_downscaled,438
2020-01-03,6,15,0,9.0,83,real_monthly_downscaled,438
2020-01-04,6,15,0,10.2,82,real_monthly_downscaled,438
2020-01-05,6,14,0,9.4,73,real_monthly_downscaled,438
2020-01-06,6,13,0,5.1,70,real_monthly_downscaled,438
2020-01-07,6,14,0,9.0,74,real_monthly_downscaled,438
2020-01-08,6,15,0,8.6,81,real_monthly_downscaled,438
2020-01-09,6,14,0,9.1,77,real_monthly_downscaled,438
2020-01-10,6,15,0,10.9,80,real_monthly_downscaled,438
2020-01-11,6,14,0,5.4,74,real_monthly_downscaled,438
2020-01-12,6,14,0,7.6,76,real_monthly_downscaled,438
2020-01-13,6,13,0,9.4,69,real_monthly_downscaled,438
2020-01-14,6,15,0,6.1,78,real_monthly_downscaled,438
2020-01-15,6,12,0,10.7,67,real_monthly_downscaled,438
2020-01-16,6,14,0,9.1,78,real_monthly_downscaled,438
2020-01-17,6,15,0,9.8,81,real_monthly_downscaled,438
2020-01-18,6,12,0,7.6,65,real_monthly_downscaled,438
2020-01-19,6,14,0,9.7,76,real_monthly_downscaled,438
2020-01-20,6,12,0,10.1,64,real_monthly_downscaled,438
2020-01-21,6,14,0,8.8,78,real_monthly_downscaled,438
2020-01-22,6,12,0,8.9,64,real_monthly_downscaled,438
2020-01-23,6,15,0,8.9,83,real_monthly_downscaled,438
2020-01-24,6,12,0,7.2,65,real_monthly_downscaled,438
2020-01-25,6,21,0,13.3,113,real_monthly_downscaled,438
2020-01-26,6,15,0,8.3,80,real_monthly_downscaled,438
2020-01-27,6,14,0,9.1,75,real_monthly_downscaled,438
2020-01-28,6,15,0,10.0,80,real_monthly_downscaled,438
2020-01-29,6,15,0,6.9,80,real_monthly_downscaled,438
2020-01-30,6,15,0,8.3,83,real_monthly_downscaled,438
2020-01-31,6,13,0,10.7,68,real_monthly_downscaled,438
2020-01-01,7,6,0,8.7,45,real_monthly_downscaled,199
2020-01-02,7,7,0,9.6,50,real_monthly_downscaled,199
2020-01-03,7,7,0,8.8,48,real_monthly_downscaled,199
2020-01-04,7,6,0,9.3,44,real_monthly_downscaled,199
2020-01-05,7,6,0,7.4,43,real_monthly_downscaled,199
2020-01-06,7,7,0,8.2,51,real_monthly_downscaled,199
2020-01-07,7,7,0,8.8,47,real_monthly_downscaled,199
2020-01-08,7,7,0,9.7,51,real_monthly_downscaled,199
2020-01-09,7,5,0,7.9,39,real_monthly_downscaled,199
2020-01-10,7,7,0,9.3,49,real_monthly_downscaled,199
2020-01-11,7,6,0,8.1,46,real_monthly_downscaled,199
2020-01-12,7,5,0,8.3,40,real_monthly_downscaled,199
2020-01-13,7,6,0,9.7,46,real_monthly_downscaled,199
2020-01-14,7,7,0,5.5,47,real_monthly_downscaled,199
2020-01-15,7,5,0,6.6,38,real_monthly_downscaled,199
2020-01-16,7,6,0,6.3,44,real_monthly_downscaled,199
2020-01-17,7,7,0,5.0,49,real_monthly_downscaled,199
2020-01-18,7,6,0,7.5,42,real_monthly_downscaled,199
2020-01-19,7,6,0,9.6,44,real_monthly_downscaled,199
2020-01-20,7,6,0,8.1,44,real_monthly_downscaled,199
2020-01-21,7,6,0,8.8,42,real_monthly_downscaled,199
2020-01-22,7,7,0,10.1,50,real_monthly_downscaled,199
2020-01-23,7,7,0,10.5,48,real_monthly_downscaled,199
2020-01-24,7,5,0,8.4,39,real_monthly_downscaled,199
2020-01-25,7,10,0,15.5,69,real_monthly_downscaled,199
2020-01-26,7,7,0,8.6,50,real_monthly_downscaled,199
2020-01-27,7,6,0,7.2,42,real_monthly_downscaled,199
2020-01-28,7,7,0,7.6,49,real_monthly_downscaled,199
2020-01-29,7,5,0,6.3,39,real_monthly_downscaled,199
2020-01-30,7,7,0,7.2,51,real_monthly_downscaled,199
2020-01-31,7,7,0,8.0,47,real_monthly_downscaled,199
2020-01-01,A,20,0,7.2,93,real_monthly_downscaled,572
2020-01-02,A,21,0,9.0,101,real_monthly_downscaled,572
2020-01-03,A,19,0,8.5,91,real_monthly_downscaled,572
2020-01-04,A,16,0,9.0,76,real_monthly_downscaled,572
2020-01-05,A,19,0,7.2,91,real_monthly_downscaled,572
2020-01-06,A,16,0,6.1,76,real_monthly_downscaled,572
2020-01-07,A,20,0,5.4,98,real_monthly_downscaled,572
2020-01-08,A,19,0,6.8,93,real_monthly_downscaled,572
2020-01-09,A,17,0,7.8,79,real_monthly_downscaled,572
2020-01-10,A,16,0,8.1,77,real_monthly_downscaled,572
2020-01-11,A,17,0,11.4,80,real_monthly_downscaled,572
2020-01-12,A,21,0,10.2,101,real_monthly_downscaled,572
2020-01-13,A,18,0,7.1,87,real_monthly_downscaled,572
2020-01-14,A,20,0,9.0,95,real_monthly_downscaled,572
2020-01-15,A,19,0,7.9,91,real_monthly_downscaled,572
2020-01-16,A,19,0,8.1,90,real_monthly_downscaled,572
2020-01-17,A,16,0,8.8,78,real_monthly_downscaled,572
2020-01-18,A,21,0,9.4,100,real_monthly_downscaled,572
2020-01-19,A,17,0,8.0,83,real_monthly_downscaled,572
2020-01-20,A,19,0,10.1,90,real_monthly_downscaled,572
2020-01-21,A,19,0,6.8,93,real_monthly_downscaled,572
2020-01-22,A,19,0,8.5,92,real_monthly_downscaled,572
2020-01-23,A,21,0,12.4,99,real_monthly_downscaled,572
2020-01-24,A,16,0,8.8,79,real_monthly_downscaled,572
2020-01-25,A,25,0,15.6,119,real_monthly_downscaled,572
2020-01-26,A,18,0,8.6,85,real_monthly_downscaled,572
2020-01-27,A,18,0,9.4,87,real_monthly_downscaled,572
2020-01-28,A,16,0,8.4,78,real_monthly_downscaled,572
2020-01-29,A,16,0,8.2,78,real_monthly_downscaled,572
2020-01-30,A,17,0,7.3,82,real_monthly_downscaled,572
2020-01-31,A,17,0,9.1,83,real_monthly_downscaled,572
2020-01-01,B,6,0,7.5,44,real_monthly_downscaled,181
2020-01-02,B,6,0,9.8,40,real_monthly_downscaled,181
2020-01-03,B,5,0,10.9,35,real_monthly_downscaled,181
2020-01-04,B,5,0,7.0,35,real_monthly_downscaled,181
2020-01-05,B,6,0,7.2,44,real_monthly_downscaled,181
2020-01-06,B,5,0,10.5,34,real_monthly_downscaled,181
2020-01-07,B,6,0,8.2,37,real_monthly_downscaled,181
2020-01-08,B,6,0,10.6,38,real_monthly_downscaled,181
2020-01-09,B,5,0,7.8,36,real_monthly_downscaled,181
2020-01-10,B,6,0,10.7,38,real_monthly_downscaled,181
2020-01-11,B,6,0,8.7,43,real_monthly_downscaled,181
2020-01-12,B,5,0,8.9,34,real_monthly_downscaled,181
2020-01-13,B,6,0,10.8,44,real_monthly_downscaled,181
2020-01-14,B,7,0,8.0,44,real_monthly_downscaled,181
2020-01-15,B,6,0,7.1,38,real_monthly_downscaled,181
2020-01-16,B,5,0,7.8,36,real_monthly_downscaled,181
2020-01-17,B,6,0,9.2,41,real_monthly_downscaled,181
2020-01-18,B,5,0,6.2,35,real_monthly_downscaled,181
2020-01-19,B,6,0,9.5,38,real_monthly_downscaled,181
2020-01-20,B,7,0,7.7,45,real_monthly_downscaled,181
2020-01-21,B,7,0,10.2,46,real_monthly_downscaled,181
2020-01-22,B,6,0,4.9,43,real_monthly_downscaled,181
2020-01-23,B,6,0,7.3,37,real_monthly_downscaled,181
2020-01-24,B,6,0,6.0,42,real_monthly_downscaled,181
2020-01-25,B,8,0,12.3,57,real_monthly_downscaled,181
2020-01-26,B,6,0,8.9,38,real_monthly_downscaled,181
2020-01-27,B,6,0,8.2,41,real_monthly_downscaled,181
2020-01-28,B,5,0,8.1,34,real_monthly_downscaled,181
2020-01-29,B,5,0,8.3,36,real_monthly_downscaled,181
2020-01-30,B,6,0,8.8,40,real_monthly_downscaled,181
2020-01-31,B,5,0,7.0,36,real_monthly_downscaled,181
2020-01-01,C,11,0,10.4,43,real_monthly_downscaled,335
2020-01-02,C,10,0,8.1,40,real_monthly_downscaled,335
2020-01-03,C,12,0,9.0,46,real_monthly_downscaled,335
2020-01-04,C,10,0,4.9,42,real_monthly_downscaled,335
2020-01-05,C,11,0,6.8,45,real_monthly_downscaled,335
2020-01-06,C,12,0,8.1,47,real_monthly_downscaled,335
2020-01-07,C,11,0,6.9,42,real_monthly_downscaled,335
2020-01-08,C,12,0,9.6,47,real_monthly_downscaled,335
2020-01-09,C,11,0,11.5,43,real_monthly_downscaled,335
2020-01-10,C,12,0,6.7,47,real_monthly_downscaled,335
2020-01-11,C,10,0,7.2,40,real_monthly_downscaled,335
2020-01-12,C,11,0,8.9,42,real_monthly_downscaled,335
2020-01-13,C,11,0,10.9,42,real_monthly_downscaled,335
2020-01-14,C,9,0,6.7,37,real_monthly_downscaled,335
2020-01-15,C,10,0,8.9,41,real_monthly_downscaled,335
2020-01-16,C,12,0,11.2,47,real_monthly_downscaled,335
2020-01-17,C,11,0,6.0,44,real_monthly_downscaled,335
2020-01-18,C,9,0,6.6,38,real_monthly_downscaled,335
2020-01-19,C,10,0,7.9,40,real_monthly_downscaled,335
2020-01-20,C,10,0,7.7,38,real_monthly_downscaled,335
2020-01-21,C,9,0,9.7,36,real_monthly_downscaled,335
2020-01-22,C,12,0,8.9,48,real_monthly_downscaled,335
2020-01-23,C,10,0,5.8,41,real_monthly_downscaled,335
2020-01-24,C,10,0,9.3,40,real_monthly_downscaled,335
2020-01-25,C,15,0,12.6,59,real_monthly_downscaled,335
2020-01-26,C,9,0,10.4,36,real_monthly_downscaled,335
2020-01-27,C,10,0,7.6,39,real_monthly_downscaled,335
2020-01-28,C,11,0,7.5,45,real_monthly_downscaled,335
2020-01-29,C,11,0,9.3,44,real_monthly_downscaled,335
2020-01-30,C,12,0,9.6,48,real_monthly_downscaled,335
2020-01-31,C,11,0,9.2,44,real_monthly_downscaled,335
2020-01-01,D,14,0,9.3,66,real_monthly_downscaled,442
2020-01-02,D,12,0,6.3,60,real_monthly_downscaled,442
2020-01-03,D,12,0,9.5,61,real_monthly_downscaled,442
2020-01-04,D,15,0,11.6,73,real_monthly_downscaled,442
2020-01-05,D,15,0,8.8,73,real_monthly_downscaled,442
2020-01-06,D,15,0,8.0,75,real_monthly_downscaled,442
2020-01-07,D,16,0,8.3,77,real_monthly_downscaled,442
2020-01-08,D,15,0,9.4,74,real_monthly_downscaled,442
2020-01-09,D,15,0,5.9,75,real_monthly_downscaled,442
2020-01-10,D,12,0,8.7,60,real_monthly_downscaled,442
2020-01-11,D,13,0,7.9,63,real_monthly_downscaled,442
2020-01-12,D,15,0,11.3,71,real_monthly_downscaled,442
2020-01-13,D,16,0,8.2,76,real_monthly_downscaled,442
2020-01-14,D,12,0,11.0,59,real_monthly_downscaled,442
2020-01-15,D,14,0,6.8,69,real_monthly_downscaled,442
2020-01-16,D,15,0,9.4,73,real_monthly_downscaled,442
2020-01-17,D,12,0,9.0,59,real_monthly_downscaled,442
2020-01-18,D,14,0,7.2,67,real_monthly_downscaled,442
2020-01-19,D,16,0,8.8,77,real_monthly_downscaled,442
2020-01-20,D,15,0,10.3,73,real_monthly_downscaled,442
2020-01-21,D,13,0,8.0,64,real_monthly_downscaled,442
2020-01-22,D,16,0,6.0,76,real_monthly_downscaled,442
2020-01-23,D,13,0,8.5,66,real_monthly_downscaled,442
2020-01-24,D,16,0,7.1,76,real_monthly_downscaled,442
2020-01-25,D,18,0,13.0,87,real_monthly_downscaled,442
2020-01-26,D,15,0,8.4,71,real_monthly_downscaled,442
2020-01-27,D,14,0,5.9,67,real_monthly_downscaled,442
2020-01-28,D,13,0,6.1,64,real_monthly_downscaled,442
2020-01-29,D,16,0,9.2,77,real_monthly_downscaled,442
2020-01-30,D,13,0,7.7,62,real_monthly_downscaled,442
2020-01-31,D,12,0,4.7,60,real_monthly_downscaled,442
2020-01-01,E,9,0,7.1,63,real_monthly_downscaled,262
2020-01-02,E,9,0,8.2,64,real_monthly_downscaled,262
2020-01-03,E,8,0,10.2,58,real_monthly_downscaled,262
2020-01-04,E,8,0,8.1,57,real_monthly_downscaled,262
2020-01-05,E,8,0,7.0,58,real_monthly_downscaled,262
2020-01-06,E,7,0,8.4,55,real_monthly_downscaled,262
2020-01-07,E,9,0,10.1,68,real_monthly_downscaled,262
2020-01-08,E,8,0,7.0,57,real_monthly_downscaled,262
2020-01-09,E,9,0,7.1,63,real_monthly_downscaled,262
2020-01-10,E,9,0,9.3,67,real_monthly_downscaled,262
2020-01-11,E,9,0,8.2,67,real_monthly_downscaled,262
2020-01-12,E,8,0,9.5,60,real_monthly_downscaled,262
2020-01-13,E,8,0,8.5,61,real_monthly_downscaled,262
2020-01-14,E,10,0,9.6,71,real_monthly_downscaled,262
2020-01-15,E,9,0,6.9,65,real_monthly_downscaled,262
2020-01-16,E,9,0,8.5,67,real_monthly_downscaled,262
2020-01-17,E,9,0,8.2,69,real_monthly_downscaled,262
2020-01-18,E,9,0,6.7,67,real_monthly_downscaled,262
2020-01-19,E,8,0,6.2,56,real_monthly_downscaled,262
2020-01-20,E,9,0,9.5,63,real_monthly_downscaled,262
2020-01-21,E,7,0,8.0,54,real_monthly_downscaled,262
2020-01-22,E,9,0,7.0,64,real_monthly_downscaled,262
2020-01-23,E,9,0,8.4,70,real_monthly_downscaled,262
2020-01-24,E,8,0,10.2,62,real_monthly_downscaled,262
2020-01-25,E,11,0,10.1,81,real_monthly_downscaled,262
2020-01-26,E,7,0,6.3,53,real_monthly_downscaled,262
2020-01-27,E,10,0,7.1,70,real_monthly_downscaled,262
2020-01-28,E,7,0,10.7,54,real_monthly_downscaled,262
2020-01-29,E,7,0,8.9,53,real_monthly_downscaled,262
2020-01-30,E,8,0,9.7,57,real_monthly_downscaled,262
2020-01-31,E,7,0,6.8,53,real_monthly_downscaled,262
2020-01-01,F,13,0,10.4,93,real_monthly_downscaled,408
2020-01-02,F,14,0,9.5,101,real_monthly_downscaled,408
2020-01-03,F,12,0,9.6,85,real_monthly_downscaled,408
2020-01-04,F,11,0,9.5,82,real_monthly_downscaled,408
2020-01-05,F,12,0,9.0,84,real_monthly_downscaled,408
2020-01-06,F,15,0,5.8,106,real_monthly_downscaled,408
2020-01-07,F,11,0,8.6,81,real_monthly_downscaled,408
2020-01-08,F,12,0,7.7,86,real_monthly_downscaled,408
2020-01-09,F,11,0,6.6,81,real_monthly_downscaled,408
2020-01-10,F,12,0,11.0,84,real_monthly_downscaled,408
2020-01-11,F,14,0,11.1,98,real_monthly_downscaled,408
2020-01-12,F,12,0,10.5,87,real_monthly_downscaled,408
2020-01-13,F,13,0,8.9,97,real_monthly_downscaled,408
2020-01-14,F,13,0,10.5,97,real_monthly_downscaled,408
2020-01-15,F,14,0,8.5,104,real_monthly_downscaled,408
2020-01-16,F,11,0,8.8,80,real_monthly_downscaled,408
2020-01-17,F,14,0,6.9,105,real_monthly_downscaled,408
2020-01-18,F,14,0,9.1,98,real_monthly_downscaled,408
2020-01-19,F,12,0,8.6,85,real_monthly_downscaled,408
2020-01-20,F,14,0,6.5,102,real_monthly_downscaled,408
2020-01-21,F,14,0,8.4,105,real_monthly_downscaled,408
2020-01-22,F,12,0,8.4,88,real_monthly_downscaled,408
2020-01-23,F,15,0,11.2,106,real_monthly_downscaled,408
2020-01-24,F,13,0,9.8,93,real_monthly_downscaled,408
2020-01-25,F,18,0,13.5,132,real_monthly_downscaled,408
2020-01-26,F,15,0,8.9,108,real_monthly_downscaled,408
2020-01-27,F,13,0,8.6,91,real_monthly_downscaled,408
2020-01-28,F,14,0,8.2,103,real_monthly_downscaled,408
2020-01-29,F,12,0,6.9,89,real_monthly_downscaled,408
2020-01-30,F,14,0,8.3,103,real_monthly_downscaled,408
2020-01-31,F,14,0,7.4,97,real_monthly_downscaled,408
2020-01-01,G,12,0,6.8,61,real_monthly_downscaled,353
2020-01-02,G,10,0,5.3,56,real_monthly_downscaled,353
2020-01-03,G,12,0,5.7,62,real_monthly_downscaled,353
2020-01-04,G,12,0,8.5,65,real_monthly_downscaled,353
2020-01-05,G,10,0,8.5,51,real_monthly_downscaled,353
2020-01-06,G,12,0,8.3,61,real_monthly_downscaled,353
2020-01-07,G,10,0,10.3,54,real_monthly_downscaled,353
2020-01-08,G,12,0,4.5,66,real_monthly_downscaled,353
2020-01-09,G,10,0,9.1,55,real_monthly_downscaled,353
2020-01-10,G,12,0,10.8,61,real_monthly_downscaled,353
2020-01-11,G,11,0,6.8,60,real_monthly_downscaled,353
2020-01-12,G,11,0,7.9,57,real_monthly_downscaled,353
2020-01-13,G,12,0,7.4,62,real_monthly_downscaled,353
2020-01-14,G,12,0,7.2,63,real_monthly_downscaled,353
2020-01-15,G,11,0,8.0,60,real_monthly_downscaled,353
2020-01-16,G,12,0,10.6,64,real_monthly_downscaled,353
2020-01-17,G,13,0,11.3,68,real_monthly_downscaled,353
2020-01-18,G,11,0,8.0,58,real_monthly_downscaled,353
2020-01-19,G,11,0,11.4,59,real_monthly_downscaled,353
2020-01-20,G,10,0,8.6,51,real_monthly_downscaled,353
2020-01-21,G,12,0,11.1,64,real_monthly_downscaled,353
2020-01-22,G,11,0,8.4,60,real_monthly_downscaled,353
2020-01-23,G,11,0,8.7,58,real_monthly_downscaled,353
2020-01-24,G,10,0,9.0,52,real_monthly_downscaled,353
2020-01-25,G,17,0,18.3,89,real_monthly_downscaled,353
2020-01-26,G,11,0,9.8,57,real_monthly_downscaled,353
2020-01-27,G,12,0,7.4,62,real_monthly_downscaled,353
2020-01-28,G,10,0,10.0,53,real_monthly_downscaled,353
2020-01-29,G,13,0,8.0,67,real_monthly_downscaled,353
2020-01-30,G,10,0,7.8,54,real_monthly_downscaled,353
2020-01-31,G,10,0,9.9,54,real_monthly_downscaled,353
